Age,Gender,Education,Occupation,Courses Interested,Other Course,Remote Work Awareness,Skills Needed,Other Skill,Skill Knowledge,Known Programming Languages,Other Programming Language,Challenges,Aspirations,Additional Comments
26-35,Female,Form 4,Self-employed,"Business, Arts, Technology",,Yes,"Digital Marketing, Writing",,Writing,Python,,Money,Become successful,Form network
18-25,Male,Form 4,Go to college,Business,,Yes,Writing,,Writing,"R, Python",,Money ,Chef,Need to work to get tuition fees 
36-45,Male,Form 4,Go to college,,,Yes,Writing,,Writing,Python,,A lot,I don't know,None
18-25,Male,Form 4,Self-employed,Business,,No,Other (please specify),Need to learn,"Coding, Writing, Data Analysis","R, Python, Shell/Bash",,No enough skills for me,Be unique in my domain,Attending short couses and conferences 
18-25,Male,Form 4,Self-employed,Business,,No,Other (please specify),Need to learn,"Coding, Writing, Data Analysis","R, Python, Shell/Bash",,No enough skills for me,Be unique in my domain,Attending short couses and conferences 
36-45,Female,Form 6,Self-employed,Technology,,Yes,Coding,,Coding,Python,,Skills,I don't know,None
36-45,Male,Form 4,Go to college,,,Yes,"Coding, Data Analysis, Writing",,"Coding, Writing, Data Analysis","R, Python, Shell/Bash",,Lack of Programming skills,Master Programming skills,Need 
Under 18,Male,Form 4,Go to college,,,Yes,,,,,,,,
Under 18,Male,Form 4,Go to college,,,Yes,,,,,,,,
Under 18,Male,Form 4,Go to college,,,Yes,,,,,,,,
Under 18,Male,Form 4,Go to college,Technology,,Yes,"Coding, Data Analysis",,Coding,Python,,Lack of coding skills,To be successful,Nothing
Under 18,Male,Form 4,Go to college,,,Yes,,,,,,,,
